country_code,episode_id,start_year,end_year,init_end_year,need_initial,share_current_exp_cuts,episode_type,d_spread_initial,d_spread_whole,d_policy_initial,d_policy_whole
AUT,3,1996,1997,1996,6.92615489784224,0.714259007527126,Expenditure driven (1),-0.17799999999999994,-0.2510000000000012,-0.8987138557917103,-0.5074307859355098
AUT,4,2001,2001,2001,4.94681389375551,0.0932756697685512,Revenue driven (1),-0.016000000000000014,-0.016000000000000014,0.3107139759152697,0.3107139759152697
AUT,5,2011,2013,2012,4.5149192375474,0.291007051512592,Revenue driven (1),0.3879999999999999,-0.04500000000000015,-1.459090968831616,-0.9677800443046001
AUT,6,2014,2014,2015,2.34388312457164,-2.4673484904438814,Revenue driven (1),NA,-0.1120000000000001,NA,0.18933152603795
BEL,5,1996,1998,1997,6.64630944956741,0.152455535702451,Revenue driven (1),-0.5910000000000011,-0.40800000000000036,-1.8360770874175603,-1.1747314863954808
BEL,6,2010,2010,2011,6.17971912929644,-1.00587645807727,Revenue driven (1),0.9749999999999996,0.007000000000000117,-2.615115138707476,-2.196317328572971
CAN,1,1983,1983,1984,2.60760897722992,0.5588860962345553,Expenditure driven (1),-1.1609999999999996,-1.1390000000000011,NA,NA
CAN,2,1985,1990,1986,5.81201817344759,-0.320269804033463,Revenue driven (1),1.1910000000000007,1.8859999999999992,NA,NA
CAN,3,2010,2014,2011,2.02581874586441,1.36244846482399,Expenditure driven (1),0.02300000000000013,-0.2839999999999998,-1.869874282147042,-2.023326477940303
DEU,4,1997,1999,1998,4.20260936050563,0.420966748128338,Revenue driven (1),NA,NA,0.042180440043810385,-0.5163472749827798
DEU,5,2003,2004,2004,5.3032396033974,0.753433850243287,Expenditure driven (1),NA,NA,-0.4373079293251796,-0.4373079293251796
DEU,6,2006,2007,2007,3.85409408919773,0.900895006541151,Expenditure driven (1),NA,NA,-0.49966978152769004,-0.49966978152769004
DEU,7,2011,2014,2011,5.30607441976257,0.0423477731893224,Revenue driven (1),NA,NA,-1.2076594418845972,-1.2941082014448622
DNK,4,2012,2014,2013,1.28652771553071,0.256788363993858,Revenue driven (1),0.05499999999999994,0.04299999999999993,-0.50494422109604,-0.5749829443285899
ESP,4,2009,2014,2010,7.3214884102562,-0.0761331176873012,Revenue driven (1),1.1279999999999997,1.1659999999999997,0.3262296717938602,2.80910874351678
FIN,2,2010,2011,2011,1.24906105896056,6.189535128600603,Expenditure driven (1),-0.11700000000000044,-0.11700000000000044,-3.5157185773211124,-3.5157185773211124
FIN,3,2012,2013,2013,2.17590905507548,-2.51587498815952,Revenue driven (1),-0.10699999999999976,-0.10699999999999976,1.5374084437376119,1.5374084437376119
FIN,4,2014,2014,2015,1.72198105218963,-2.68906972190956,Revenue driven (1),NA,-0.006000000000000005,NA,0.6334731138202301
FRA,5,2010,2012,2011,7.48224538216661,-0.685830921848695,Revenue driven (1),0.2869999999999995,0.6169999999999995,-2.0217697075793897,-2.4899681345849602
GBR,3,1993,1995,1994,4.29413093236415,0.0344699625252717,Revenue driven (1),NA,NA,-3.1336582147205805,-2.1770704386542707
GBR,4,1996,1999,1996,3.98204326940235,0.693203336470387,Expenditure driven (1),NA,NA,-0.5468706195533795,-1.9631431802269192
GBR,5,2010,2011,2010,8.84739976723977,0.411710497049013,Revenue driven (1),NA,NA,-1.64170025733527,-1.95502983713513
IRL,2,2008,2008,2009,1.95885220212053,0.3891546283630164,Revenue driven (1),1.8989999999999991,0.4549999999999992,6.346947300749403,1.762827154447353
ITA,1,1991,1993,1991,13.3824469650047,-0.108959698868877,Revenue driven (1),NA,NA,0.5752939270009509,1.7734697252149996
ITA,2,2004,2004,2005,5.53718124720365,0.5880553268916665,Expenditure driven (1),-0.023000000000000576,-0.0030000000000001137,0.04661335389433008,-0.19926957931425981
ITA,3,2009,2009,2010,5.40279421781526,2.0662098605725636,Expenditure driven (1),0.5959999999999996,0.391,-1.01722637048496,0.6098069940944804
JPN,2,1997,1997,1997,8.43045277592306,-0.164117036533108,Revenue driven (1),NA,NA,-0.693946424765643,-0.693946424765643
JPN,3,2003,2006,2004,11.6655071500159,-0.866811254183324,Revenue driven (1),NA,NA,-1.8143093638832102,-2.4484720935561723
PRT,2,2000,2000,2001,5.53501766300732,1.761298409008084,Expenditure driven (1),0.0730000000000004,0.04499999999999993,0.057960290818900084,0.65119146613865
PRT,3,2002,2002,2002,7.53451345400732,-0.164735616863718,Revenue driven (1),-0.136000000000001,-0.136000000000001,0.1735561830562098,0.1735561830562098
PRT,4,2005,2007,2006,7.60947037047778,-0.259454801020088,Revenue driven (1),0.04499999999999993,0.10000000000000053,0.5931750035604701,0.9412003545124201
PRT,5,2010,2013,2011,10.5749585017786,0.250214878601645,Revenue driven (1),6.644,3.7359999999999998,-1.7657562936026099,0.9721181157095802
USA,4,1987,1989,1987,7.75724813899725,0.270350134740985,Revenue driven (1),NA,NA,-0.6843883657375605,0.1992127845431595
USA,5,1990,1990,1991,6.71515044904271,0.9623965698441097,Expenditure driven (1),NA,NA,-0.86307542785217,-0.6724153002231192
USA,6,1993,1998,1994,7.93890939690061,0.349597598516699,Revenue driven (1),NA,NA,0.9038461739624397,1.9138810924625602
USA,7,2011,2012,2011,12.8670201311141,0.709276293807541,Expenditure driven (1),NA,NA,-0.9615290914481802,-0.7686376529156302
USA,8,2013,2014,2013,10.2113257498142,0.274581952087989,Revenue driven (1),NA,NA,0.04997913969304002,-0.3388531103291319
